>>>>>>>>>>> CUDA available : True
Namespace(batch_size=32, context_max_length=256, dataset='/home/hyuns6100/[4]newCRS/data/redial/', device=device(type='cuda'), entity_max_length=50, global_norm_clip=5, kg_dataset='[4]newCRS/data/dbpedia/', kg_emb_dim=128, learning_rate=0.0001, max_grad_norm=None, num_bases=8, num_epochs=10, num_warmup_steps=None, num_workers=0, output_dataset_dir='/home/hyuns6100/[4]newCRS/data/redial/', output_dir='/home/hyuns6100/[4]newCRS/save/', save_name='ent_sent_rec_v3', seed=42, senti_tokenizer='roberta-base', text_encoder='roberta-base', text_tokenizer='roberta-base', weight_decay=0.01)
2023-12-11 11:44:07.648 | INFO     | __main__:<module>:280 - ***** Load Dataset *****
2023-12-11 11:44:08.040 | DEBUG    | dataset.dataset_dbpedia:_process_entity_kg:40 - #edge: 186339, #relation: 25, #entity: 30890, #item: 6281

  0%|          | 0/110206 [00:00<?, ?it/s]
  0%|          | 180/110206 [00:00<01:01, 1797.60it/s]
  0%|          | 469/110206 [00:00<00:45, 2428.75it/s]
  1%|          | 745/110206 [00:00<00:42, 2577.29it/s]
  1%|          | 1055/110206 [00:00<00:39, 2782.12it/s]
  1%|          | 1334/110206 [00:00<00:39, 2779.90it/s]
  2%|▏         | 1678/110206 [00:00<00:36, 3001.88it/s]
  2%|▏         | 1979/110206 [00:00<00:36, 2979.94it/s]
  2%|▏         | 2297/110206 [00:00<00:35, 3041.56it/s]
  2%|▏         | 2603/110206 [00:00<00:35, 3043.21it/s]
  3%|▎         | 2908/110206 [00:01<00:35, 3014.10it/s]
  3%|▎         | 3210/110206 [00:01<00:35, 2991.85it/s]
  3%|▎         | 3510/110206 [00:01<00:36, 2940.20it/s]
  3%|▎         | 3823/110206 [00:01<00:35, 2995.06it/s]
  4%|▍         | 4144/110206 [00:01<00:34, 3057.79it/s]
  4%|▍         | 4454/110206 [00:01<00:34, 3067.85it/s]
  4%|▍         | 4761/110206 [00:01<00:34, 3048.22it/s]
  5%|▍         | 5066/110206 [00:01<00:35, 2950.73it/s]
  5%|▍         | 5375/110206 [00:01<00:35, 2988.94it/s]
  5%|▌         | 5682/110206 [00:01<00:34, 3012.34it/s]
  5%|▌         | 6018/110206 [00:02<00:33, 3113.04it/s]
  6%|▌         | 6330/110206 [00:02<00:34, 3010.18it/s]
  6%|▌         | 6646/110206 [00:02<00:33, 3053.27it/s]
  6%|▋         | 6968/110206 [00:02<00:33, 3101.84it/s]
  7%|▋         | 7279/110206 [00:02<00:33, 3080.03it/s]
  7%|▋         | 7588/110206 [00:02<00:33, 3079.94it/s]
  7%|▋         | 7897/110206 [00:02<00:33, 3071.67it/s]
  7%|▋         | 8215/110206 [00:02<00:32, 3103.05it/s]
  8%|▊         | 8526/110206 [00:02<00:33, 3036.79it/s]
  8%|▊         | 8861/110206 [00:02<00:32, 3127.48it/s]
  8%|▊         | 9175/110206 [00:03<00:32, 3100.64it/s]
  9%|▊         | 9486/110206 [00:03<00:32, 3084.03it/s]
  9%|▉         | 9797/110206 [00:03<00:32, 3088.95it/s]
  9%|▉         | 10110/110206 [00:03<00:32, 3097.57it/s]
  9%|▉         | 10420/110206 [00:03<00:33, 2960.90it/s]
 10%|▉         | 10718/110206 [00:03<00:33, 2956.63it/s]
 10%|█         | 11053/110206 [00:03<00:32, 3070.53it/s]
 10%|█         | 11395/110206 [00:03<00:31, 3171.83it/s]
 11%|█         | 11714/110206 [00:03<00:31, 3109.36it/s]
 11%|█         | 12026/110206 [00:04<00:34, 2858.63it/s]
 11%|█         | 12359/110206 [00:04<00:32, 2987.59it/s]
 12%|█▏        | 12700/110206 [00:04<00:31, 3105.51it/s]
 12%|█▏        | 13014/110206 [00:04<00:31, 3098.70it/s]
 12%|█▏        | 13327/110206 [00:04<00:31, 3075.99it/s]
 12%|█▏        | 13653/110206 [00:04<00:30, 3126.56it/s]
 13%|█▎        | 13967/110206 [00:04<00:30, 3123.26it/s]
 13%|█▎        | 14281/110206 [00:04<00:31, 3079.67it/s]
 13%|█▎        | 14590/110206 [00:04<00:31, 3071.14it/s]
 14%|█▎        | 14912/110206 [00:04<00:30, 3111.05it/s]
